,cloud_delta
0,671037249
1,541001896
2,582973194
3,422879502
4,572946376
5,467917660
6,424961537
7,460890261
8,465108115
9,432542195
10,583527460
11,413325370
12,462993189
13,431455594
14,409730551
15,447853119
16,401365182
17,550643221
18,412425061
19,410243563
20,446933067
21,861026719
22,448843491
23,418589328
24,475422797
25,569036189
26,425506694
27,408557612
28,458591480
29,551408943
30,415440452
31,457090874
32,467635983
33,422249800
34,406362853
35,449533113
36,527690805
37,537806278
38,419392848
39,420968726
40,409721022
41,541435694
42,410758366
43,471460937
44,408034788
45,579119325
46,432860516
47,443915575
48,576668064
49,434153914
50,518402528
51,403639587
52,533013403
53,434359763
54,448298298
55,432609730
56,440758078
57,416915900
58,441503181
59,635541539
60,443668850
61,435574931
62,423910853
63,405092815
64,412434931
65,432835371
66,452358565
67,468525107
68,417300809
69,407597521
70,479387247
71,428390814
72,417974040
73,394298524
74,426269425
75,468616944
76,471623181
77,420477220
78,404847500
79,605046547
80,422131121
81,442273636
82,418492597
83,398631281
84,451977032
85,441723225
86,483640641
87,421248162
88,447172265
89,444302174
90,537237696
91,457464929
92,433368319
93,407677915
94,416227252
95,417615267
96,460723147
97,411003735
98,396439479
99,423532743
100,515325824
101,417448344
102,416229185
103,400681546
104,396991928
105,398807701
106,409634426
107,430016992
108,414706906
109,415465081
110,408734018
111,467684019
112,416139926
113,417780284
114,424643952
115,408459649
116,430473094
117,406470754
118,411472035
119,430531744
120,1001547471
121,444602317
122,407622325
123,430120090
124,454337224
125,426549068
126,409342790
127,430886290
128,407867797
129,541185392
130,423308252
131,711173084
132,462818947
133,428055556
134,399881563
135,410647090
136,552928720
137,432348718
138,468070232
139,429729563
140,447393916
141,412140995
142,426594792
143,431499876
144,549116719
145,430803475
146,406786859
147,400394856
148,424295276
149,428468384
150,401146990
151,415196253
152,427620733
153,423303727
154,405625731
155,438184187
156,416877351
157,422181078
158,401631374
159,413724448
160,403596471
161,418719273
162,421756656
163,412153885
164,412326748
165,499195237
166,653242126
167,404980763
168,414759785
169,414680672
170,450792189
171,576938436
172,406594874
173,442367173
174,1418971920
175,419750601
176,428386138
177,452429997
178,414694217
179,465505205
180,428845150
181,416248381
182,407830290
183,414236045
184,422623042
185,426061049
186,402778335
187,417857492
188,399574963
189,418945404
190,412413873
191,423709354
192,415232880
193,410473369
194,458121299
195,420091611
196,412065082
197,458011300
198,404990112
199,398303109
200,425199145
201,412802998
202,430459645
203,416200120
204,392801315
205,420883806
206,403869396
207,424199731
208,438859463
209,517531487
210,474460725
211,455104190
212,445629697
213,470538503
214,395775734
215,607362270
216,470057048
217,442669034
218,817641563
219,400541102
220,433623677
221,433238627
222,410014293
223,426054386
224,409659244
225,433709668
226,544526881
227,474923098
228,422150080
229,419494362
230,407160671
231,448736864
232,419385941
233,453964086
234,464293420
235,409395825
236,430924386
237,549485531
238,551149014
239,441962833
240,434026822
241,437184571
242,875674325
243,562479252
244,434312306
245,554558971
246,555168240
247,582051728
248,575500296
249,444295654
250,439407080
251,430864144
252,450893493
253,613474759
254,480131058
255,453593299
256,2463548836
257,441806324
258,456076052
259,720039653
260,587135862
261,494032564
262,781677516
263,435189509
264,440949912
265,421599896
266,1428136856
267,455312063
268,583058890
269,523683328
270,449332273
271,457928087
272,463391303
273,432049645
274,469092954
275,430662301
276,461764997
277,499321470
278,544628197
279,452479741
280,441421064
281,470391419
282,418034234
283,441027726
284,572866981
285,437423095
286,528135665
287,444386307
288,551096341
289,503686416
290,418614827
291,408957919
292,443588311
293,452020529
294,530024265
295,420699553
296,1458688096
297,450586925
298,448354793
299,489977510
300,591921762
301,436919136
302,454708887
303,414512047
304,538298541
305,409734295
306,557479484
307,428017845
308,498122531
309,444506765
310,432752362
311,704336750
312,580516975
313,414131618
314,631275866
315,418289138
316,436185762
317,405315936
318,625808912
319,693585263
320,573755800
321,523924248
322,453463473
323,527110330
324,552941129
325,432195010
326,518864905
327,493381476
328,518419904
329,485390451
330,465715340
331,474935109
332,434465309
333,426437984
334,477057236
335,419064874
336,454180361
337,428207402
338,418576747
339,559855622
340,665750448
341,409699534
342,420114243
343,536464916
344,425139162
345,428862171
346,461889689
347,375669909
348,421339165
349,426309620
350,393970065
351,440141032
352,388543355
353,424593623
354,645356271
355,423667166
356,411294229
357,416500100
358,410390897
359,417399315
360,408929753
361,382612479
362,507540585
363,385720854
364,403964087
365,392028701
366,392793334
367,411548596
368,431724844
369,390501358
370,406150638
371,425923189
372,401172577
373,476322376
374,394498422
375,483171778
376,393894048
377,380877363
378,379588877
379,394394930
380,526684678
381,413328471
382,393869460
383,399609340
384,512190859
385,390637436
386,482834270
387,482839894
388,442611511
389,487143369
390,612580685
391,404701142
392,377544546
393,382651980
394,546415022
395,488918980
396,411862105
397,426460397
398,393507362
399,577331702
400,397490317
401,421367491
402,391846372
403,527305739
404,394998028
405,670956799
406,528258545
407,395426826
408,524937457
409,433694530
410,1399301595
411,390850375
412,393620419
413,634359386
414,499262729
415,368698922
416,367569707
417,383155392
418,399369772
419,392081667
420,377630614
421,388480217
422,410250208
423,503739842
424,399947163
425,408345524
426,462444902
427,377375659
428,384475014
