,e2e_delta
0,984524879
1,732459708
2,734638657
3,682218884
4,701555710
5,684845696
6,764490119
7,778351193
8,738609270
9,734215857
10,714903669
11,733327376
12,701711763
13,715559035
14,701493225
15,714504981
16,816383039
17,700867607
18,767403040
19,732534892
20,1068494897
21,697378883
22,733375830
23,734092391
24,618474719
25,714416819
26,700636372
27,715104892
28,770656633
29,730002421
30,670066747
31,696571246
32,521819817
33,728437278
34,679943002
35,737894680
36,186304390
37,754409699
38,150138486
39,709043480
40,117776208
41,698792390
42,126897149
43,747648803
44,557300528
45,684493510
46,715407309
47,716225014
48,735606268
49,748839847
50,750078592
51,513766959
52,752721445
53,131184108
54,718306730
55,118520633
56,716507627
57,113939980
58,700898074
59,126606790
60,690323027
61,556907419
62,750580476
63,726226021
64,700037147
65,734223691
66,731506571
67,684057860
68,716570297
69,699148618
70,700431321
71,700594134
72,716632438
73,853604803
74,746158798
75,128985843
76,754711412
77,140891408
78,775310682
79,121168489
80,728571499
81,118278451
82,698185199
83,532638450
84,718524263
85,670569407
86,712474713
87,499748258
88,733422264
89,749533797
90,565569485
91,719402653
92,714836792
93,527812338
94,739646095
95,732900505
96,492642001
97,707553294
98,119545845
99,730176929
100,561529775
101,703933108
102,751136878
103,481098524
104,752626508
105,649758546
106,801107720
107,698367050
108,717324715
109,732667138
110,716745501
111,716769774
112,717462011
113,715257856
114,716835871
115,716471551
116,700714081
117,715853380
118,735342605
119,715308282
120,716418902
121,682952199
122,700509767
123,733248768
124,716425990
125,733209448
126,767107715
127,733825281
128,715645739
129,700076236
130,701432689
131,731879932
132,733469092
133,750188279
134,734347007
135,749359588
136,749846514
137,732918945
138,716994912
139,752518848
140,696989651
141,750474331
142,749446784
143,700282607
144,733380567
145,682394158
146,717941375
147,716091595
148,750899598
149,732980574
150,731863550
151,717394302
152,717169409
153,699565332
154,701990217
155,715397650
156,779118112
157,703225110
158,494769179
159,704611980
160,527692557
161,739068996
162,959694662
163,742072369
164,716245834
165,699004255
166,751034464
167,698772956
168,717991924
169,749081613
170,699617487
171,716968808
172,757222462
173,725542361
174,716392564
175,716785376
176,700965769
177,401190391
178,730572759
179,136122081
180,714484715
181,131283980
182,702624619
183,128998367
184,738680899
185,543499165
186,705336380
187,699912085
188,716564139
189,715796384
190,701214842
191,734615250
192,748643359
193,715896909
