,local_delta
0,265408800
1,104874391
2,112956432
3,85531995
4,86581260
5,84530854
6,153380229
7,143769760
8,101082070
9,89407757
10,114893403
11,126763809
12,98748333
13,98710677
14,92555241
15,97172039
16,188577392
17,78440212
18,138417448
19,87001677
20,92066911
21,93849767
22,92287223
23,99102032
24,75988767
25,101006188
26,143223572
27,98248443
28,94100601
29,99954372
30,105746166
31,115335803
32,97897040
33,91252544
34,98572037
35,94879609
36,88204279
37,95772313
38,119473648
39,103414982
40,100364737
41,112081031
42,85269973
43,104931850
44,85092995
45,84146282
46,90376093
47,102218636
48,89839065
49,113790138
50,86367469
51,76945070
52,98515271
53,103942118
54,91948535
55,85020498
56,113280299
57,134307326
58,106980593
59,114736282
60,88480116
61,92247806
62,92440929
63,91120833
64,125010867
65,123505614
66,103259156
67,103275927
68,117663614
69,105840133
70,93171084
71,93884310
72,94923576
73,124639987
74,119377045
75,181970057
76,93449782
77,111949323
78,107013047
79,97567314
80,106259092
81,91035525
82,85817322
83,94533892
84,98911318
85,98799964
86,101483440
87,85866906
88,95006547
89,101883179
90,83682178
91,97871585
92,94408894
93,94788840
94,96631748
95,129113354
96,99716368
97,102066461
98,98876425
99,90936518
100,97783827
101,101923910
102,111314540
103,102581876
104,113211510
105,115937902
106,104995615
107,102664585
108,98518668
109,86348210
110,113301615
111,111584592
112,76644300
113,95936391
114,83872910
115,101922246
116,108210236
117,100659023
118,109357522
119,101686258
120,110532777
121,104668171
122,102674535
123,98834815
124,104859108
125,94892439
126,94655254
127,105607803
128,103957134
129,87836174
130,88885075
131,90820534
132,91376417
133,84023954
134,104295207
135,90386631
136,89958196
137,129767736
138,88796691
139,87369980
140,99378670
141,96377852
142,96602226
143,99746794
144,96055198
145,116858219
146,90267051
147,93955053
148,95786033
149,113435738
150,86832016
151,102946676
152,107964411
153,93961043
154,89443670
155,91692826
156,100865177
157,117005201
158,101062155
159,109011126
160,97941233
161,101511737
162,102046786
163,120063573
164,128153949
165,107968997
166,76964412
167,93897400
168,94097713
169,96735356
170,98663211
171,103377302
172,85343173
173,89923359
174,94523857
175,101940123
176,103653032
177,100656172
178,81311423
179,128280828
180,112023877
181,114113034
182,106076355
183,136798548
184,114946260
185,98592642
186,85600309
187,87487957
188,106297761
